car_id,fuelType,rating,renterTripsTaken,reviewCount,owner.id,vehicle.make,vehicle.model,vehicle.type,vehicle.year
71,GASOLINE,4.82,56,50,3983888,Infiniti,EX35,suv,2008
72,GASOLINE,4.93,22,15,7697843,INFINITI,Q50,car,2018
73,GASOLINE,4.95,69,66,7868475,Mercedes-Benz,E-Class,car,2016
74,GASOLINE,4.9,61,50,7697843,Mazda,CX-5,suv,2018
75,GASOLINE,4.84,71,58,7697843,smart,fortwo,car,2015
76,GASOLINE,5.0,17,16,15117491,BMW,Z4,car,2008
77,GASOLINE,4.89,9,9,511103,Chevrolet,Camaro,car,2018
78,GASOLINE,4.93,19,15,2052844,Land Rover,Range Rover Evoque,suv,2015
79,GASOLINE,5.0,2,2,5513653,BMW,X4,suv,2018
80,GASOLINE,5.0,45,40,7868475,Infiniti,QX60,suv,2015
81,ELECTRIC,5.0,21,19,3991249,Tesla,Model 3,car,2020
82,GASOLINE,4.98,54,44,499566,BMW,6 Series Gran Coupe,car,2013
83,GASOLINE,5.0,70,62,1077705,BMW,M4,car,2015
84,GASOLINE,5.0,13,13,10851739,Mercedes-Benz,C-Class,car,2016
85,ELECTRIC,5.0,51,44,1439133,Tesla,Model X,suv,2018
86,GASOLINE,4.94,61,51,6077494,Maserati,Ghibli,car,2015
87,GASOLINE,,0,0,10696094,Mercedes-Benz,GLA-Class,suv,2015
88,GASOLINE,5.0,5,4,7678058,Maserati,Ghibli,car,2015
89,GASOLINE,5.0,2,2,12796797,Chevrolet,Camaro,car,2019
90,GASOLINE,5.0,39,31,6580855,Mercedes-Benz,C-Class,car,2016
91,GASOLINE,5.0,14,14,9971230,BMW,M4,car,2016
92,ELECTRIC,4.94,18,18,4266637,Tesla,Model 3,car,2018
93,GASOLINE,5.0,13,13,11968412,BMW,5 Series,car,2011
94,ELECTRIC,4.89,56,47,4887223,Tesla,Model X,suv,2016
95,GASOLINE,4.93,72,61,1428350,BMW,i8,car,2015
96,GASOLINE,5.0,2,2,1295660,Mercedes-Benz,E-Class,car,2017
97,GASOLINE,5.0,12,11,9451897,Land Rover,Range Rover Sport,suv,2018
98,GASOLINE,5.0,25,22,1879749,Chevrolet,Corvette,car,2016
99,GASOLINE,4.92,37,36,8444510,Ford,Fiesta,car,2017
100,GASOLINE,5.0,35,35,1103338,Mercedes-Benz,AMG GT,car,2016
101,GASOLINE,4.94,19,18,499566,Volkswagen,Arteon,car,2019
102,GASOLINE,4.97,41,34,6580855,Ford,Fiesta,car,2015
103,GASOLINE,5.0,41,39,10413163,Maserati,Ghibli,car,2015
104,GASOLINE,4.89,11,9,12796797,BMW,X6,suv,2018
105,GASOLINE,4.9,14,10,11312622,Mercedes-Benz,SLK-Class,car,2013
106,ELECTRIC,,0,0,1523445,Tesla,Model 3,car,2020
107,GASOLINE,4.86,7,7,15406472,Land Rover,Range Rover Velar,suv,2019
108,GASOLINE,4.91,53,45,464263,Bentley,Continental GT,car,2005
109,GASOLINE,5.0,5,5,1846481,Porsche,Panamera,car,2018
110,ELECTRIC,5.0,6,5,2312511,Tesla,Model X,suv,2016
111,HYBRID,5.0,12,11,11258220,Porsche,Cayenne,suv,2017
112,GASOLINE,,0,0,735348,Porsche,718 Cayman,car,2017
113,ELECTRIC,5.0,2,2,11216559,Tesla,Model 3,car,2019
114,GASOLINE,4.82,71,61,511103,Porsche,Cayenne,suv,2011
115,GASOLINE,5.0,6,5,15256714,Jaguar,F-TYPE,car,2016
116,GASOLINE,4.73,27,26,8444510,Ford,Fiesta,car,2017
117,GASOLINE,4.96,59,54,511103,Chevrolet,Camaro,car,2016
118,GASOLINE,5.0,5,4,11258220,Audi,TTS,car,2017
119,GASOLINE,5.0,3,1,1140700,BMW,X4,suv,2017
120,GASOLINE,4.85,51,48,511103,Dodge,Charger,car,2017
121,GASOLINE,,0,0,1278682,Mercedes-Benz,C-Class,car,2016
122,GASOLINE,,1,0,15071013,GMC,Yukon,suv,2019
123,ELECTRIC,5.0,23,21,9326905,Tesla,Model 3,car,2019
124,GASOLINE,4.85,28,26,3792936,Chevrolet,Suburban,suv,2011
125,GASOLINE,4.74,28,23,10250575,Toyota,Corolla,car,2020
126,GASOLINE,5.0,26,21,12096465,Porsche,Boxster,car,2015
127,ELECTRIC,4.77,17,13,6514411,Tesla,Model 3,car,2019
128,GASOLINE,4.51,51,39,7221030,Mitsubishi,Mirage,car,2014
129,GASOLINE,5.0,15,9,1919268,Chevrolet,Corvette,car,2017
130,GASOLINE,4.88,47,42,6482788,Porsche,Panamera,car,2016
131,DIESEL,5.0,2,1,11454718,Land Rover,Range Rover,suv,2016
132,GASOLINE,4.87,56,47,2052844,BMW,4 Series,car,2014
133,GASOLINE,4.92,45,40,8752492,Lexus,IS 200t,car,2016
134,GASOLINE,5.0,3,2,3792936,Chevrolet,Suburban,suv,2012
135,GASOLINE,4.86,30,28,8444510,Nissan,Versa,car,2017
136,GASOLINE,5.0,14,11,14354281,Maserati,Ghibli,car,2017
137,GASOLINE,5.0,27,24,217743,Jaguar,F-TYPE,car,2014
138,GASOLINE,5.0,6,6,15581324,BMW,4 Series,car,2015
139,GASOLINE,5.0,58,55,511103,Dodge,Challenger,car,2019
140,GASOLINE,4.92,33,25,10413163,Audi,A7,car,2017
141,GASOLINE,5.0,15,14,13728129,Ford,Mustang,car,2014
142,GASOLINE,5.0,5,3,15031450,Maserati,Ghibli,car,2017
143,DIESEL,5.0,15,15,14841812,Audi,Q7,suv,2015
144,GASOLINE,,0,0,2530195,Acura,MDX,suv,2016
145,GASOLINE,5.0,10,10,15152803,Ford,Mustang,car,2018
146,ELECTRIC,5.0,11,8,310752,Tesla,Model S,car,2015
147,GASOLINE,4.89,69,65,7363993,Hyundai,Accent,car,2017
148,GASOLINE,4.98,128,117,511103,Dodge,Challenger,car,2018
149,GASOLINE,5.0,9,8,6482788,Maserati,Ghibli,car,2015
150,ELECTRIC,4.89,76,70,1416567,Tesla,Model S,car,2013
151,,,0,0,14917535,Kia,Rio,car,2020
152,GASOLINE,5.0,15,11,10872556,Nissan,Altima,car,2018
153,ELECTRIC,,0,0,217743,Tesla,Model X,suv,2017
154,GASOLINE,5.0,6,5,14354281,Mercedes-Benz,S-Class,car,2014
155,ELECTRIC,,0,0,270450,Tesla,Model 3,car,2018
156,GASOLINE,4.74,91,76,10216804,Volkswagen,Jetta,car,2011
157,GASOLINE,5.0,2,1,15117491,Volkswagen,New Beetle,car,2008
158,GASOLINE,4.75,17,16,6830247,Porsche,Cayenne,suv,2017
159,GASOLINE,5.0,5,5,3665954,Chevrolet,Silverado 1500,truck,2017
160,ELECTRIC,4.83,25,18,8655954,Tesla,Model 3,car,2020
161,HYBRID,4.77,14,13,4782598,Kia,Optima,car,2016
162,GASOLINE,4.9,64,51,6482788,Porsche,Macan,suv,2017
163,GASOLINE,5.0,26,22,12029322,Kia,Sorento,suv,2014
164,GASOLINE,5.0,4,3,5253132,Jeep,Wrangler,suv,2017
165,GASOLINE,,0,0,4726027,GMC,Yukon XL,suv,2019
166,GASOLINE,5.0,17,14,5586320,Porsche,Boxster,car,2015
167,GASOLINE,5.0,13,11,1740878,Lexus,IS,car,2020
168,GASOLINE,4.63,271,195,507900,Nissan,Versa Note,car,2015
169,GASOLINE,4.86,73,63,6482788,Mercedes-Benz,CLS-Class,car,2016
170,GASOLINE,,0,0,8814550,Dodge,Charger,car,2020
171,GASOLINE,5.0,7,6,9218210,Kia,Soul,car,2014
172,GASOLINE,4.78,62,49,1426383,Volkswagen,Passat,car,2015
173,GASOLINE,4.81,139,98,507900,Nissan,Altima,car,2016
174,GASOLINE,4.96,26,23,6580855,Hyundai,Elantra,car,2019
175,GASOLINE,5.0,56,51,511103,Jeep,Grand Cherokee,suv,2019
176,GASOLINE,5.0,15,13,11312622,MINI,Cooper,car,2015
177,GASOLINE,5.0,5,4,511103,Jeep,Grand Cherokee,suv,2017
178,GASOLINE,4.84,54,49,10216804,Volkswagen,Passat,car,2012
179,HYBRID,5.0,6,2,12800611,BMW,i8,car,2016
180,GASOLINE,4.89,26,19,1251177,Land Rover,Range Rover Velar,suv,2018
181,ELECTRIC,5.0,7,3,217743,Tesla,Model 3,car,2020
182,ELECTRIC,5.0,36,34,8691695,Tesla,Model 3,car,2020
183,ELECTRIC,4.79,99,78,6482788,Tesla,Model S,car,2013
184,HYBRID,4.83,23,18,4782598,Toyota,Prius,car,2010
185,GASOLINE,4.94,39,36,10413163,Mercedes-Benz,E-Class,car,2016
186,GASOLINE,4.79,45,38,1426383,BMW,X5,suv,2009
187,GASOLINE,5.0,10,9,1891792,Jeep,Compass,suv,2018
188,GASOLINE,5.0,4,4,5133548,Polaris,Slingshot,car,2017
189,GASOLINE,4.86,27,22,7363993,Chevrolet,Cruze,car,2017
190,GASOLINE,4.97,41,35,10413163,Jeep,Wrangler Unlimited,suv,2019
191,GASOLINE,4.67,3,3,15346119,Chevrolet,Camaro,car,2015
192,GASOLINE,5.0,21,19,5801653,Mercedes-Benz,E-Class,car,2014
193,GASOLINE,4.8,5,5,6939498,Chrysler,300,car,2018
194,GASOLINE,4.69,14,13,1251177,Maserati,Levante,suv,2020
195,GASOLINE,4.86,91,69,7725344,Mercedes-Benz,E-Class,car,2012
196,GASOLINE,4.95,21,19,10167863,Jeep,Wrangler,suv,2017
197,GASOLINE,5.0,9,8,14953193,Hyundai,Genesis,car,2014
198,GASOLINE,,0,0,1057995,BMW,X5,suv,2015
199,GASOLINE,4.9,159,146,1426383,Nissan,Sentra,car,2017
200,GASOLINE,4.86,82,70,1661563,Toyota,Camry,car,2017
201,GASOLINE,4.67,84,70,1426383,BMW,3 Series,car,2011
202,GASOLINE,4.89,10,9,15185267,Toyota,RAV4,suv,2017
203,GASOLINE,,0,0,10439598,Chevrolet,Tahoe,suv,2015
204,GASOLINE,5.0,71,63,312450,Mazda,MX-5 Miata,car,2016
205,GASOLINE,5.0,2,2,15693009,Dodge,Grand Caravan,minivan,2016
206,GASOLINE,4.86,75,66,1661563,Toyota,Camry,car,2018
207,GASOLINE,,0,0,8952295,BMW,X4,suv,2020
208,GASOLINE,5.0,3,3,7363993,Chevrolet,Cruze,car,2017
209,HYBRID,4.81,106,88,1661563,Lexus,HS 250h,car,2010
210,GASOLINE,4.72,67,64,7221030,Audi,A4,car,2012
211,GASOLINE,4.92,159,139,1727097,Kia,Optima,car,2013
212,GASOLINE,5.0,12,9,1661563,Toyota,Sienna,minivan,2012
213,,,0,0,5162679,Toyota,Camry,car,2020
214,GASOLINE,5.0,3,3,15622497,Jeep,Patriot,suv,2015
215,GASOLINE,5.0,11,6,14910142,Mercedes-Benz,CLA-Class,car,2018
216,GASOLINE,4.9,66,49,1661563,Toyota,Camry,car,2018
217,GASOLINE,4.88,59,52,3698495,Ford,Escape,suv,2017
218,GASOLINE,4.83,44,36,1661563,Toyota,Camry,car,2017
219,GASOLINE,5.0,10,10,14634339,Chevrolet,Suburban,suv,2019
220,GASOLINE,4.97,41,37,10244672,Lexus,IS 250,car,2015
221,GASOLINE,4.87,66,54,3698495,Ford,Focus,car,2018
222,ELECTRIC,5.0,4,2,7934891,Tesla,Model X,suv,2019
223,,5.0,10,8,1886829,Land Rover,Range Rover,suv,2020
224,,4.8,5,5,886557,Audi,A8,car,2015
225,GASOLINE,4.91,36,34,3659271,BMW,4 Series Gran Coupe,car,2016
226,GASOLINE,4.86,73,64,1238898,Nissan,Altima,car,2015
227,GASOLINE,5.0,27,23,735348,Ford,F-150,truck,2019
228,GASOLINE,4.73,56,51,1661563,Toyota,Yaris iA,car,2017
229,GASOLINE,4.7,100,81,7221030,Buick,LaCrosse,car,2016
230,GASOLINE,5.0,18,14,308839,Acura,TSX,car,2011
231,GASOLINE,4.85,34,33,10244672,Lexus,IS 250,car,2015
232,GASOLINE,4.73,52,37,7221030,Volkswagen,Tiguan,suv,2011
233,HYBRID,4.88,52,40,1661563,Toyota,Camry,car,2008
234,GASOLINE,,0,0,15739167,Lexus,IS 250,car,2014
235,GASOLINE,4.88,19,17,308839,Acura,TSX,car,2011
236,HYBRID,4.86,66,56,4353395,Toyota,Prius v,car,2012
237,GASOLINE,4.98,60,47,988215,Volkswagen,Jetta,car,2017
238,GASOLINE,4.97,39,35,10089647,Kia,Soul,car,2018
239,GASOLINE,4.81,51,43,8421016,Hyundai,Elantra,car,2015
240,HYBRID,4.99,107,90,4353395,Toyota,Prius,car,2010
241,HYBRID,4.91,89,75,4353395,Toyota,Prius,car,2010
242,HYBRID,4.86,109,91,4353395,Lexus,HS 250h,car,2011
243,GASOLINE,,3,0,14404790,FIAT,500,car,2012
244,GASOLINE,5.0,4,3,7095382,Kia,Rio,car,2009
245,HYBRID,4.9,61,49,4353395,Toyota,Prius,car,2010
246,GASOLINE,4.63,54,48,11279587,Honda,Accord,car,2011
247,HYBRID,4.95,120,100,4353395,Lexus,CT 200h,car,2012
248,GASOLINE,4.95,20,20,11279587,BMW,5 Series,car,2016
249,GASOLINE,5.0,14,11,914019,BMW,3 Series,car,2011
250,GASOLINE,4.92,59,49,914019,Mercedes-Benz,C-Class,car,2009
251,GASOLINE,4.92,30,24,5343023,FIAT,500,car,2013
252,GASOLINE,4.8,25,20,8421016,BMW,3 Series,car,2016
253,GASOLINE,4.98,58,50,8793776,Mercedes-Benz,CLA-Class,car,2015
254,HYBRID,,0,0,4353395,Lexus,CT 200h,car,2012
255,GASOLINE,5.0,30,25,914019,BMW,X1,suv,2013
256,GASOLINE,5.0,44,39,914019,BMW,3 Series,car,2009
257,GASOLINE,4.95,22,22,14602921,Mercedes-Benz,CLA-Class,car,2017
258,GASOLINE,5.0,3,3,10089647,Hyundai,Elantra GT,car,2017
259,GASOLINE,4.92,29,26,8421016,Hyundai,Sonata,car,2019
260,HYBRID,3.86,10,7,11279587,Toyota,Prius c,car,2012
261,GASOLINE,4.95,49,39,9046223,Alfa-romeo,Giulia,car,2019
262,GASOLINE,5.0,27,23,9463179,GMC,Sierra 1500,truck,2016
263,GASOLINE,5.0,5,4,13858730,Chevrolet,Camaro,car,2018
264,ELECTRIC,5.0,21,18,1351290,Tesla,Model X,suv,2017
265,GASOLINE,5.0,23,20,914019,Toyota,Yaris,car,2008
266,GASOLINE,5.0,10,10,7376797,BMW,5 Series,car,2018
267,GASOLINE,5.0,26,21,10147412,Porsche,Boxster,car,2014
268,GASOLINE,4.87,58,46,9046223,Mercedes-Benz,CLA-Class,car,2018
269,GASOLINE,4.91,108,96,8755908,Mercedes-benz,GLC-Class,suv,2019
270,GASOLINE,4.89,25,18,988215,Chevrolet,Trax,suv,2018
271,GASOLINE,5.0,22,17,4471592,Chevrolet,Corvette,car,2007
272,GASOLINE,5.0,22,20,7649574,BMW,4 Series,car,2018
273,GASOLINE,5.0,2,2,2130021,Mercedes-Benz,C-Class,car,2016
274,GASOLINE,5.0,7,6,5880880,Land Rover,Range Rover Evoque,suv,2015
275,GASOLINE,4.85,42,39,6510847,Nissan,Sentra,car,2017
276,GASOLINE,5.0,11,7,5793069,Ford,Mustang,car,2016
277,GASOLINE,4.93,64,56,9046223,Mercedes-Benz,CLA-Class,car,2017
278,ELECTRIC,4.96,29,28,10817313,Tesla,Model 3,car,2020
279,ELECTRIC,5.0,1,1,11986021,Tesla,Model 3,car,2020
280,GASOLINE,5.0,21,18,9113625,Ford,Mustang,car,2014
281,GASOLINE,5.0,1,1,15054209,Mercedes-Benz,SL-Class,car,2017
282,GASOLINE,5.0,15,14,7107554,Audi,S5,car,2015
283,ELECTRIC,4.83,14,12,3037579,Tesla,Model S,car,2018
284,HYBRID,4.79,52,43,2693957,Toyota,Prius,car,2008
285,GASOLINE,,0,0,7107554,BMW,M4,car,2016
286,GASOLINE,5.0,1,1,1849874,Volkswagen,Atlas Cross Sport,suv,2020
287,GASOLINE,4.95,104,88,4022601,Chevrolet,Corvette,car,2019
288,GASOLINE,5.0,17,17,10817313,Polaris,Slingshot,car,2019
289,GASOLINE,5.0,30,30,4738959,Dodge,Challenger,car,2015
290,GASOLINE,5.0,6,5,268973,Ford,Mustang,car,2018
291,GASOLINE,5.0,43,30,4022601,Dodge,Challenger,car,2019
292,GASOLINE,5.0,1,1,11222799,Mercedes-benz,GLC-Class,suv,2019
293,GASOLINE,4.87,18,15,305300,Toyota,4Runner,suv,2016
294,ELECTRIC,4.85,16,13,1351290,Tesla,Model 3,car,2018
295,ELECTRIC,,0,0,1351290,Tesla,Model Y,suv,2020
296,GASOLINE,4.75,14,12,4742782,Porsche,Cayenne,suv,2014
297,GASOLINE,5.0,3,3,10240102,BMW,5 Series,car,2014
298,GASOLINE,,0,0,9921706,Mercedes-benz,C-Class,car,2019
299,GASOLINE,4.99,80,67,526216,Mercedes-Benz,E-Class,car,2017
300,GASOLINE,5.0,57,53,526216,Chevrolet,Corvette,car,2019
301,ELECTRIC,5.0,15,14,1351290,Tesla,Model 3,car,2019
302,HYBRID,5.0,28,26,1432343,Land Rover,Range Rover Sport,suv,2020
303,GASOLINE,5.0,2,2,14821685,Audi,TTS,car,2010
304,HYBRID,4.82,83,61,226203,Toyota,Prius,car,2009
305,GASOLINE,4.66,43,32,226203,Lexus,ES 350,car,2009
306,GASOLINE,4.97,37,34,526216,Toyota,Sequoia,suv,2018
307,GASOLINE,4.7,114,82,226203,Toyota,Camry,car,2010
308,GASOLINE,4.98,55,49,2205924,Toyota,Camry,car,2017
309,GASOLINE,5.0,5,5,15054209,BMW,X6,suv,2016
310,GASOLINE,5.0,3,3,15215074,Maserati,Ghibli,car,2019
311,GASOLINE,4.93,15,14,1351290,Lincoln,Navigator,suv,2016
312,GASOLINE,,0,0,2907482,Acura,MDX,suv,2016
313,GASOLINE,5.0,61,50,2693957,Chevrolet,Equinox,suv,2019
314,GASOLINE,4.8,46,40,2205924,Honda,Accord Sedan,car,2019
315,ELECTRIC,5.0,3,3,2401031,Tesla,Model 3,car,2018
316,GASOLINE,5.0,1,1,8907527,Honda,Ridgeline,truck,2014
317,GASOLINE,4.95,111,91,3595768,Ford,F-150,truck,2014
318,GASOLINE,4.97,36,34,2205924,Toyota,Highlander,suv,2019
319,GASOLINE,5.0,5,5,3796227,Mercedes-Benz,S-Class,car,2013
320,ELECTRIC,4.97,38,37,4722830,Tesla,Model 3,car,2020
321,ELECTRIC,5.0,10,6,1698554,Tesla,Model X,suv,2018
322,GASOLINE,5.0,10,8,11555570,BMW,X5,suv,2012
323,HYBRID,4.48,55,31,226203,Toyota,Prius,car,2009
324,GASOLINE,4.95,54,44,4742782,Mercedes-Benz,GL-Class,suv,2012
325,GASOLINE,,0,0,1351290,Chevrolet,Suburban,suv,2020
326,GASOLINE,4.93,36,27,6510847,FIAT,500,car,2012
327,GASOLINE,4.93,19,15,4742782,Mercedes-Benz,Metris,minivan,2018
328,,5.0,10,8,1432343,Jeep,Wrangler Unlimited,suv,2020
329,GASOLINE,5.0,2,2,13619893,Audi,A6,car,2018
330,GASOLINE,5.0,28,22,2693957,Dodge,Challenger,car,2015
331,GASOLINE,5.0,30,27,1735989,Jeep,Wrangler,suv,2013
332,GASOLINE,4.84,30,25,8642074,Hyundai,Genesis,car,2013
333,GASOLINE,5.0,9,7,14324204,Lexus,GS 350,car,2013
334,GASOLINE,5.0,36,27,1323619,Ford,Escape,suv,2015
335,GASOLINE,5.0,6,4,6123565,Mitsubishi,Eclipse Cross,suv,2019
336,GASOLINE,5.0,17,17,10817313,Jeep,Wrangler,suv,2020
337,GASOLINE,5.0,20,15,4022601,Mercedes-benz,C-Class,car,2019
338,GASOLINE,4.5,10,10,9859133,Nissan,Rogue,suv,2019
339,GASOLINE,5.0,14,14,10135745,Chevrolet,Suburban,suv,2017
340,GASOLINE,5.0,22,15,5128958,Chevrolet,Suburban,suv,2012
341,ELECTRIC,,0,0,10486401,Audi,E-Tron,suv,2019
342,GASOLINE,5.0,11,8,13078780,Infiniti,QX60,suv,2020
343,GASOLINE,5.0,4,3,1351290,Honda,Pilot,suv,2019
344,GASOLINE,5.0,16,14,10373750,GMC,Yukon,suv,2012
345,GASOLINE,4.98,45,41,7107554,Audi,A4,car,2016
346,GASOLINE,5.0,1,1,1351290,Honda,Odyssey,minivan,2020
347,GASOLINE,5.0,11,10,856042,Jeep,Wrangler,suv,2018
348,GASOLINE,5.0,43,30,1031296,Hyundai,Santa Fe,suv,2013
349,GASOLINE,4.98,52,49,4022601,Toyota,Supra,car,2020
350,GASOLINE,5.0,16,15,11067767,Cadillac,CTS Coupe,car,2011
351,GASOLINE,5.0,9,8,3143655,Toyota,Tacoma,truck,2018
352,GASOLINE,5.0,17,15,10323824,GMC,Acadia,suv,2015
353,GASOLINE,5.0,35,30,526216,Toyota,Highlander,suv,2019
354,GASOLINE,5.0,24,19,526216,Toyota,Highlander,suv,2019
355,GASOLINE,5.0,17,13,4722830,Jeep,Wrangler,suv,2017
356,GASOLINE,5.0,6,5,10253567,Jeep,Wrangler,suv,2015
357,GASOLINE,5.0,3,3,4879293,Audi,A5,car,2018
358,GASOLINE,4.75,12,12,2885282,Jeep,Wrangler,suv,2016
359,GASOLINE,,0,0,2451165,Lincoln,Navigator,suv,2015
360,GASOLINE,5.0,4,3,14436588,Chevrolet,Tahoe,suv,2011
361,GASOLINE,5.0,1,1,11179653,Lexus,NX 200t,suv,2015
362,GASOLINE,,0,0,527562,Land Rover,Range Rover Sport,suv,2018
363,GASOLINE,5.0,2,2,2474094,BMW,5 Series,car,2012
364,GASOLINE,4.88,27,24,11676918,Subaru,Impreza,car,2012
365,GASOLINE,5.0,26,22,526216,Toyota,Camry,car,2020
366,GASOLINE,4.92,14,13,526216,Toyota,Camry,car,2017
367,GASOLINE,5.0,15,9,4022601,Infiniti,QX60,suv,2020
368,GASOLINE,4.8,7,5,4022601,Honda,Accord Sedan,car,2019
369,GASOLINE,4.6,10,10,13078780,Toyota,Camry,car,2020
370,GASOLINE,4.98,99,85,3143655,Honda,Civic Sedan,car,2019
371,HYBRID,5.0,31,26,13184353,Lexus,CT 200h,car,2015
372,GASOLINE,,0,0,1533794,Hyundai,Sonata,car,2020
373,GASOLINE,5.0,28,22,5128958,Toyota,Camry,car,2015
374,GASOLINE,5.0,28,24,3037579,MINI,Convertible,car,2018
375,HYBRID,5.0,38,28,11676918,Toyota,Prius,car,2013
376,GASOLINE,4.97,44,37,11676918,Subaru,Impreza,car,2009
377,GASOLINE,,0,0,8153568,Mazda,Mazda6,car,2019
378,GASOLINE,,0,0,45702,Mazda,CX-5,suv,2014
