airbnb_id,Detail,Price(in dollar),Offer price(in dollar),Review and rating,Number of bed,Extracted Title,City/State,Country
483,Poolside room in large villa. 5 minutes to beach.,34.00,,5.0 (37),1 king bed,Room in Kecamatan Denpasar Selatan,,Indonesia
484,Ba hao Residence x MAITRI CHIT ROOM,96.00,,4.93 (431),1 king bed,Room in Bangkok,,Thailand
485,Pool Villa by Humble,63.00,,4.93 (105),1 king bed,Boutique hotel in Ko Samui,,Thailand
486,[VR] 2BR High Skyline Ocean View @ Pattaya,136.00,62.00,4.69 (85),3 beds,Apartment in Muang Pattaya,,Thailand
487,Villa Seminyak 1 Bedroom 10 Mins to Beach,69.00,55.00,4.67 (340),1 king bed,Home in Kuta,,Indonesia
488,"DEEPSPACE villa X1 ,Secret Address on Quiet Beach",164.00,24.00,4.7 (47),3 beds,Villa in Ko Lanta District,,Thailand
489,BALIAN TREEHOUSE 2 - with private pool,131.00,39.00,4.89 (140),3 beds,Place to stay in Balian Beach,,Indonesia
490,Private pool two bedroom villa - villa the cow,97.00,53.00,4.8 (124),2 double beds,Villa in Thành phố Hội An,,Vietnam
491,清迈 The Astra Condo长康路无边泳池豪华公寓古城夜市边Chang Khlan road,33.00,809.00,4.68 (158),1 queen bed,Apartment in 清迈,,Thailand
492,Garden view twin room with breakfast-Ngan Phu,24.00,116.00,4.85 (255),2 single beds,Place to stay in Thành phố Hội An,,Vietnam
493,Heritage of Art Villa Iseh in Sidemen East Bali,154.00,99.00,4.89 (111),1 queen bed,Room in Sidemen,,Indonesia
494,One-Bedroom Suite in Patong Beach,49.00,,4.73 (67),2 king beds,Apartment in Tambon Patong,,Thailand
495,"【CENTRAL STUDIO】0-min BTS ASOK, FAST WIFI, NETFLIX",58.00,,4.74 (252),4 beds,Condo in Khet Watthana,,Thailand
496,"Eagles Nest, Luxury Villa, Koh Yao Noi",986.00,,4.95 (43),22 beds,Villa in Koh Yao Noi,,Thailand
497,FIG TREE BOUTIQUE VILLA,30.00,,4.83 (92),3 queen beds,Hotel room in Thành phố Hội An,,Vietnam
498,Seaview Bedrock Home,131.00,,4.8 (35),3 beds,Earthen home in Ao nang,,Thailand
499,Alamanda Tropical Wooden Villa - Pool View,97.00,,4.87 (196),2 beds,Villa in Langkawi,,Malaysia
500,Perch Villa - Clifftop villa spectacular sea view,162.00,,4.94 (71),1 bed,Villa in Koh Lanta Island,,Thailand
501,Tropical Private Room Canggu 3 by Rios Guest House,33.00,,4.86 (7),3 beds,Guesthouse in Kecamatan Kuta Utara,,Indonesia
502,"Luxury Beach Front Pool Villa, Phuphatara Rayong",359.00,,4.68 (85),1 double bed,Villa in Rayong,,Thailand
503,TROPICAL POOL BEACH VILLA III | Beach-Pool-Freedom,142.00,,4.92 (25),1 double bed,Cottage in Lamai Beach,,Thailand
504,Samu House. Tropical stay private pool.Adults Only,108.00,110.00,4.84 (106),1 bed,Cabin in Kecamatan Ubud,,Indonesia
505,Romantic 1br Villa - Ubud Jungle,363.00,,5.0 (13),1 king bed,Villa in Tampaksiring,,Indonesia
506,umatreehouse,133.00,,4.93 (164),1 bed,Treehouse in Tampaksiring,,Indonesia
507,"Promo Price! Magical Treehouse, Stunning Views.",280.00,,4.78 (528),4 beds,Treehouse in Ubud,,Indonesia
508,Tropical Glamping 🌴 Cliff Side Ocean View + Net🐬,474.00,,4.93 (209),1 queen bed,Bungalow in Nusapenida,,Indonesia
509,Cliffside Bamboo Treehouse - Private Pool & View,484.00,,5.0 (59),1 bed,Treehouse in Klungkung,,Indonesia
510,Dreamy Cliffside Bamboo Villa with Pool and View,484.00,,4.98 (58),1 bed,Cabin in Klungkung,,Indonesia
511,25%OFF! Romantic Honeymoon Escape in Ubud Paradise,117.00,,4.77 (219),1 double bed,Cottage in Ubud,,Indonesia
512,Acala Lembongan-Deluxe Suite Sea View,92.00,,4.63 (51),1 queen bed,"Resort in Nusa Lembongan,",,Indonesia
513,NEW 5BR Luxury Villa in Ubud: Pool and Jungle View,451.00,,New,5 double beds,Villa in Ubud,,Indonesia
514,Seaside Designer Treehouse ~ Stunning Views ~ Pool,121.00,,4.75 (4),1 bed,Treehouse in Kabupaten Buleleng,,Indonesia
515,private villa with infinity pool hill and sea view,53.00,,4.8 (35),1 double bed,Room in Kabupaten Buleleng,,Indonesia
516,50% OFF | Ipian Jiwa Eco Bamboo Uniquely Escape,89.00,,4.67 (128),6 beds,Hut in Ubud,,Indonesia
517,"Private Modern Beachfront Villa: Pool, Sunset View",628.00,,5.0 (15),9 beds,Villa in Bacnotan,La Union,Philippines
518,SoftLaunch IbizaInspiredBeachfrontVilla inBatangas,473.00,,4.91 (11),1 king bed,Villa in Lian,,Philippines
519,Stunning Room Near Ubud Market - Outdoor Pool!!,44.00,,4.78 (358),1 bed,Hotel in Kecamatan Ubud,,Indonesia
520,Hotel Room with Private Plunge Pool Siray Bay#2,71.00,,5.0 (13),1 bed,Hotel in Tambon Ratsada,,Thailand
521,Suite 2 - Beachfront Luxury Suite on Bingin Beach,267.00,,4.93 (96),1 bed,Guest suite in Bingin Beach,,Indonesia
522,"Private Modern Beachfront Villa: Pool, Sunset View",628.00,189.00,5.0 (15),6 beds,Villa in Bacnotan,La Union,Philippines
523,TROPICAL - DESIGNER LOFT - Seminyak,220.00,102.00,4.98 (113),1 king bed,Loft in Seminyak,,Indonesia
524,SoftLaunch IbizaInspiredBeachfrontVilla inBatangas,473.00,132.00,4.91 (11),9 beds,Villa in Lian,,Philippines
525,Hotel Room with Private Plunge Pool Siray Bay#2,71.00,,5.0 (13),1 bed,Hotel in Tambon Ratsada,,Thailand
526,Suite 2 - Beachfront Luxury Suite on Bingin Beach,267.00,,4.93 (96),3 king beds,Guest suite in Bingin Beach,,Indonesia
527,3 Bdr - The Dream Cliffside Bamboo Villa By Avana,913.00,,4.97 (30),1 bed,Treehouse in Klungkung,,Indonesia
528,Madara Ubud Villas,194.00,,4.83 (129),2 beds,Villa in Kecamatan Ubud,,Indonesia
529,New 2BR+2Bath Eco Home,53.00,,4.73 (11),2 beds,Shipping container in Tambon Bo Put,,Thailand
530,Le Aiken Xperience - Unique Bamboo House,252.00,,4.69 (94),2 beds,Place to stay in Penebel,,Indonesia
531,Six-Bamboo Villa in Eco Six Bali Resort,458.00,,5.0 (5),1 bed,Home in Kecamatan Tampaksiring,,Indonesia
532,One-Bedroom Villa Suite Deluxe,229.00,,4.95 (20),1 queen bed,Home in Kecamatan Kuta Selatan,,Indonesia
533,Enchanted Hobbit Treehouse Nestled in the Jungle,207.00,,4.92 (117),1 king bed,Treehouse in Tegallalang,,Indonesia
534,Romantic hideaway for two,33.00,,4.97 (229),2 beds,Home in Tegallalang,,Indonesia
535,PICO DE LORO ( Santorini Vibe),112.00,,4.88 (16),4 beds,Apartment in Nasugbu,,Philippines
536,*NEW* Lovely New 3BR Villa Stunning Jungle View,381.00,,4.7 (69),1 bed,Villa in Kecamatan Tampaksiring,,Indonesia
537,Nalu Bingin - 1 Bedroom Villa,202.00,,5.0 (5),2 beds,Villa in South Kuta,,Indonesia
538,Pelangi Treehouse (formerly Skai Joglo),229.00,,4.92 (112),1 queen bed,Villa in Kecamatan Ubud,,Indonesia
539,°3 Charming room in Bingin beach,155.00,,4.52 (523),1 queen bed,Place to stay in Pecatu,,Indonesia
540,"Luxe Villa in Tropical Oasis, Ubud. Walk to town.",176.00,363.00,4.93 (287),1 king bed,Villa in Ubud,,Indonesia
541,4br Lovina Paradise - Ocean View,460.00,275.00,4.93 (40),4 king beds,Villa in Banjar,,Indonesia
542,"Baby & kids friendly, JB CIQ, Romantic Duplex",75.00,229.00,4.82 (182),2 beds,Condo in Johor Bahru,,Malaysia
543,Tiny House by The Modern Escape,128.00,103.00,5.0 (32),2 beds,Tiny home in Concepcion,,Philippines
544,Gorgeous luxury 1 bedroom villa in heart of Canggu,325.00,,4.87 (47),1 bed,Villa in Kecamatan Kuta Utara,,Indonesia
545,Boho-Chic villa with ocean&rice field view,201.00,,4.97 (67),3 queen beds,Villa in Kecamatan Seririt,,Indonesia
546,Ceylon Villas 4 - 1BR Villa! 5 mins to Ubud 🌴,125.00,,4.92 (184),1 bed,Villa in Ubud,,Indonesia
547,Gypsea Bali Bungalow with private bathroom and AC,155.00,,4.92 (78),1 king bed,Place to stay in Kecamatan Kuta Selatan,,Indonesia
548,"DAY CLOUDS, Ubud",72.00,,4.59 (122),1 bed,Hut in Kecamatan Ubud,,Indonesia
549,Cozy Loft Cabins Near Tagaytay,252.00,,4.88 (43),8 beds,Cabin in Amadeo,,Philippines
550,Ocean View and Private Pool at Balian Beach,116.00,,4.82 (122),1 queen bed,Place to stay in Tabanan,,Indonesia
551,Wanagiri Cabin,148.00,,4.97 (29),2 beds,Cabin in Kecamatan Sukasada,,Indonesia
552,Batan Sabo Cottage,72.00,,4.72 (459),1 queen bed,Place to stay in Nusapenida,,Indonesia
553,Bamboo Turtle cabin river view 5km to Ubud center,118.00,,4.88 (75),1 bed,Treehouse in Kecamatan Ubud,,Indonesia
554,PROMO! Luxury Villa Escape in Ubud 2 BR,306.00,,5.0 (4),2 beds,Home in Kecamatan Ubud,,Indonesia
555,Villa Sea Spray Bali Cowrie literally on the Ocean,130.00,,4.79 (112),2 beds,Apartment in Candidasa,,Indonesia
556,The Nude House,305.00,,4.68 (19),2 beds,Home in Kecamatan Selat,,Indonesia
557,Tiny Poolvilla in the heart of Phuket,119.00,,5.0 (98),1 king bed,Villa in Kathu,,Thailand
558,Bamboo Turtle cabin river view 5km to Ubud center,118.00,172.00,4.88 (75),1 bed,Treehouse in Kecamatan Ubud,,Indonesia
559,PROMO! Luxury Villa Escape in Ubud 2 BR,306.00,63.00,5.0 (4),2 beds,Home in Kecamatan Ubud,,Indonesia
560,The Nude House,305.00,,4.68 (19),2 beds,Home in Kecamatan Selat,,Indonesia
561,Tiny Poolvilla in the heart of Phuket,119.00,,5.0 (98),1 king bed,Villa in Kathu,,Thailand
562,Instagrammable Loft Studio in EkoCheras KL,60.00,,4.94 (84),1 double bed,Apartment in Kuala Lumpur,,Malaysia
563,❤PROMO Beachfront oasis. Private pool and firepit,189.00,,4.74 (46),4 beds,Villa in Kecamatan Banjar,,Indonesia
564,Arte Mont Kiara Muji Suites,51.00,,4.59 (406),3 beds,"Condo in Federal Territory of Kuala Lumpur,",,Malaysia
565,My Canopy Tagaytay (with thermal pool),424.00,,4.91 (81),17 beds,Villa in Tagaytay,,Philippines
566,Luxe Suite: Villacellabella Ubud Bali Instaworthy,490.00,,4.92 (167),1 double bed,Room in UbudUbud,Gianyar,Indonesia
567,CITY APART ★ CENTRAL City-FREE Pool & Gym,31.00,,4.64 (96),1 king bed,Apartment in phường 6,,Vietnam
568,Villa Akasha - Bio-Architected Eco Dome,86.00,,4.65 (303),1 queen bed,Place to stay in Ubud,,Indonesia
569,#1Beach Front Villa room Villa Blanca Beach Front,71.00,,4.58 (114),1 queen bed,Resort in Lian,,Philippines
570,Luxury 1 BR Villa w/ Private Pool & Ricefield View,92.00,,4.95 (208),4 queen beds,Villa in Ubud,,Indonesia
571,Yuma • Atlantis Melaka/3BR 8Pax WiFi Balcony SeaView,40.00,,4.43 (7),2 king beds,Apartment in Melaka,,Malaysia
572,Ceylon Villas 1 - 2BR Villa! 5 mins to Ubud 🌴,166.00,,4.89 (176),1 king bed,Villa in Tampaksiring,,Indonesia
573,"Newly furnished first row of seaview in Moon, sea view, perfect sunrise ~ long term rental welcome (also discounted)",155.00,,4.92 (216),2 king beds,Home in 頭城鎮,,Taiwan
574,B Designer King Bed with Partial SEA VIEW bath,75.00,,4.5 (281),2 king beds,Boutique hotel in Kathu District,,Thailand
575,"Vaikuntha#3, The Pursuit of Perfect Rustic Beauty",201.00,,4.82 (146),2 king beds,Hut in Selat,,Indonesia
576,DELUXE SEA VIEW + Hot Tub @Koh Samui,72.00,31.00,4.63 (16),1 bed,Resort in Tambon Maret,,Thailand
577,Spacious Apt in City of Angels,19.00,46.00,4.95 (438),1 king bed,Apartment in Bangkok,,Thailand
578,"Luxury room & Sky pool, in Phuket town",40.00,73.00,4.81 (210),1 bed,Apartment in Phuket,,Thailand
579,Mt Batur Sunrise & overnight,42.00,,4.97 (29),1 bed,Tent in Kintamani,,Indonesia
580,Tide 2 in Penida Tides Cottage,32.00,,4.85 (68),1 king bed,Place to stay in Nusa Penida,,Indonesia
581,Ceylon Villas 2 - 2BR Villa! 5 mins to Ubud 🌴,157.00,,4.88 (112),2 king beds,Villa in Ubud,,Indonesia
582,Private room4 Legian/breakfast/close to Kuta beach,81.00,,4.91 (34),1 bed,Room in Kabupaten Badung,,Indonesia
583,"Luxury Ocean Front, 2,500sq ft Private Eco Villa!",450.00,,4.96 (24),1 double bed,Villa in Karangasem,,Indonesia
584,★Studio in Seafront Private Villa w/infinity pool★,53.00,,4.83 (93),3 beds,Apartment in PHUKET,,Thailand
585,Veranda Residence pattaya 2bedroom partial seaview,83.00,,4.89 (186),2 beds,Condo in Na Chom Thian,,Thailand
586,Cool Home w Garden near Sea,77.00,,4.81 (360),2 beds,Home in Hua Hin,,Thailand
587,Cozy & Modern Loft w/ high speed wi-fi and Netflix,35.00,,4.92 (196),1 king bed,Loft in Pasig,,Philippines
588,Cozy Place near Shopping Center,35.00,,4.96 (237),2 king beds,Apartment in Phuket,,Thailand
589,Ocean View Pool Villa @ Balian Beach,170.00,,4.76 (282),1 queen bed,Home in Tabanan,,Indonesia
590,Oceanfront Pool Villa,163.00,,4.96 (23),2 beds,Villa in General Luna,,Philippines
591,Lovely 1 Bedroom Suite with Pool View,26.00,,4.27 (56),3 beds,Condo in George Town,,Malaysia
592,Private Beach House. The Shack,89.00,,4.88 (41),1 king bed,Home in Santander,,Philippines
593,Lounge Poolside Under Lush Greenery at an Organic Bamboo Pad,69.00,,4.71 (98),1 king bed,Treehouse in Bali,,Indonesia
594,"Luxury room & Sky pool, in Phuket town",40.00,31.00,4.81 (210),1 bed,Apartment in Phuket,,Thailand
595,Tide 2 in Penida Tides Cottage,32.00,46.00,4.85 (68),1 king bed,Place to stay in Nusa Penida,,Indonesia
596,Walk to Petronas Towers from a Stylish Apartment,71.00,182.00,4.89 (296),1 king bed,Apartment in Kuala Lumpur,,Malaysia
597,Private room4 Legian/breakfast/close to Kuta beach,81.00,,4.91 (34),1 bed,Room in Kabupaten Badung,,Indonesia
598,"Luxury Ocean Front, 2,500sq ft Private Eco Villa!",450.00,,4.96 (24),1 double bed,Villa in Karangasem,,Indonesia
599,★Studio in Seafront Private Villa w/infinity pool★,53.00,,4.83 (93),3 beds,Apartment in PHUKET,,Thailand
600,Veranda Residence pattaya 2bedroom partial seaview,83.00,,4.89 (186),2 beds,Condo in Na Chom Thian,,Thailand
601,Cool Home w Garden near Sea,77.00,,4.81 (360),2 beds,Home in Hua Hin,,Thailand
602,Coconut Garden Resort Gili Trawangan,69.00,,4.84 (242),1 king bed,Hotel room in Gili Trawangan,,Indonesia
603,Cozy & Modern Loft w/ high speed wi-fi and Netflix,35.00,,4.92 (196),2 king beds,Loft in Pasig,,Philippines
604,Balian Beachfront Luxury Tiny House,186.00,,5.0 (19),4 beds,Tiny home in Kabupaten Tabanan,,Indonesia
605,Ocean View Pool Villa @ Balian Beach,170.00,,4.76 (282),1 queen bed,Home in Tabanan,,Indonesia
606,PD D'Wharf Premium Suite - Full Seaview (4-6 Pax),54.00,,4.88 (129),1 king bed,Apartment in Port Dickson,,Malaysia
607,Oceanfront Pool Villa,163.00,,4.96 (23),1 king bed,Villa in General Luna,,Philippines
608,Lounge Poolside Under Lush Greenery at an Organic Bamboo Pad,69.00,,4.71 (98),2 beds,Treehouse in Bali,,Indonesia
609,Studio in Beachfront Private Villa w/Infinity pool,38.00,,4.88 (64),2 beds,Apartment in PHUKET,,Thailand
610,Grand Seaview Pool Suite •,111.00,,4.85 (26),2 beds,Room in Phuket,,Thailand
611,"❤️THE LOFT, Romantic Beachfront Home, HIN KONG.",198.00,,4.96 (56),2 beds,Home in ตำบล บ้านใต้,,Thailand
612,"❤️THE LOFT, Romantic Beachfront Home, HIN KONG.",198.00,182.00,4.96 (56),2 beds,Home in ตำบล บ้านใต้,,Thailand
613,5* Studio Resort like: Mason Place Capitol Park,29.00,25.00,4.95 (112),2 queen beds,Apartment in Kecamatan Senen,,Indonesia
614,Minimax House by wiandra,96.00,32.00,4.84 (81),4 beds,Home in Lembang,,Indonesia
615,B1731/Seaview/5 mine drive to Jonker/Imperio/4 pax,23.00,33.00,4.54 (209),3 beds,Condo in Melaka,,Malaysia
616,*6Maritime Seafront Scandinavian Home‖北欧风格日出无敌海景套房,153.00,,4.39 (380),3 double beds,Loft in George Town,,Malaysia
617,Scenic Cebu City View Condo in Ayala,41.00,,4.98 (315),2 queen beds,Condo in Cebu City,,Philippines
618,"Baan Rom Pruk private house, near Naiyang beach",26.00,,4.96 (172),1 king bed,Bungalow in Naiyang Beach,,Thailand
619,10' walk to Bitexco D1 45sqm Studio - Stay&Fun 01,38.00,,4.8 (163),1 queen bed,Condo in Quận 4,,Vietnam
620,Ayung Panorama. Poetic house on Ayung River cliff,159.00,,4.91 (227),2 king beds,Villa in Abiansemal,,Indonesia
621,Villa The Spot - Room B6,127.00,,4.75 (28),1 bed,Room in Ko Samui District,,Thailand
622,Cozy Seafront Studio Suite Near Queensbay,52.00,,4.83 (263),1 bed,Condo in Bayan Lepas,,Malaysia
623,GLAMPING Experience with an INFINITY POOL,79.00,,4.8 (45),2 beds,Hut in Kecamatan Selat,,Indonesia
624,Veranda Residence pattaya 1BR partial sea view,47.00,,4.8 (95),2 queen beds,Condo in Tambon Na Chom Thian,,Thailand
625,1min KLCC Twin Tower & Pavilion/Ins cottage for best memories,38.00,,4.91 (278),2 beds,Apartment in Kuala Lumpur,,Malaysia
626,Nyan Bali -A Bamboo House Escape with Private Chef,237.00,,4.95 (104),2 queen beds,Cabin in Selat,,Indonesia
627,5-Star Experience at the Heart of Cebu,49.00,,4.96 (280),3 beds,Condo in Cebu City,,Philippines
628,Antipolo - Secluded and Romantic,143.00,,4.87 (478),3 beds,Bungalow in Antipolo,,Philippines
629,Alon and Sandy Surf Shack GFloor (Air Conditioned),129.00,,4.62 (145),3 beds,Room in San Juan,,Philippines
630,The Blue Cabin #Beach,62.00,21.00,4.85 (59),1 queen bed,Room in Botolan,,Philippines
631,"Amazing Manila Bay View! Spacious Comfy, Clean *31",69.00,177.00,4.9 (154),2 beds,Condo in Manila,,Philippines
632,Luxurious private 2bedrm seafront Phuket penthouse,286.00,57.00,4.92 (185),2 beds,Apartment in Thalang,,Thailand
633,Serenity Tagaytay Home w/ WIFI & NETFLIX,30.00,34.00,4.79 (447),3 beds,Condo in Tagaytay,,Philippines
634,B1933B/5 min drive to Jonker/Seaview/Imperio/4 pax,24.00,47.00,4.69 (196),4 beds,Apartment in Melaka,,Malaysia
635,H&B Villas Phu Quoc - 3 Bedrooms,252.00,,5.0 (20),4 beds,Villa in Phu Quoc,,Vietnam
636,A Chic and Cozy 2Br Unit w/ Netflix and Disney+,34.00,,4.94 (295),6 beds,Condo in Pasig,,Philippines
637,Coastline Seaview Duplex Level 19 Executive Floor,87.00,,4.92 (437),1 king bed,Loft in George Town,,Malaysia
638,"BOHO CABIN, Hin Kong Beachfront, West Coast.",132.00,,4.98 (44),2 beds,Cabin in Tambon Ko Pha-ngan,,Thailand
639,(A)Charming Pool Access One Bedroom Apartment,65.00,,4.82 (68),1 double bed,Apartment in Tambon Kamala,,Thailand
640,"One Bedroom Condo in Roxas Boulevard, Pasay City",30.00,,4.77 (332),8 beds,Condo in Pasay,,Philippines
641,Wake up to the Sea of Bali: Beachfront luxury plus,194.00,,5.0 (139),1 queen bed,Villa in Seririt,,Indonesia
642,Enchanted River cabin w/private garden and kitchen,51.00,,4.85 (127),2 beds,Cabin in Lazi,,Philippines
643,Cozy City Condo at Horizons 101 [ W/ WIFI ].,26.00,,4.44 (220),2 beds,Condo in Cebu City,,Philippines
644,SUNSET SEAVIEW DELUXE PATONG - POOL+TERRACE,64.00,,4.8 (159),4 beds,Apartment in Tambon Patong,,Thailand
645,Appartment 140 sqm 6 people big terrace sea view,111.00,,4.91 (160),2 beds,Apartment in Tambon Rawai,,Thailand
646,Cozy room 48.5 sq.m @The Astra near Night market,45.00,,4.89 (190),1 king bed,Condo in Chiang Mai,,Thailand
647,EXPRESSIONZ-1Bedroom-Junior-Suite-KLCC-Sky-Pool,53.00,,4.78 (408),1 king bed,Apartment in Kuala Lumpur,,Malaysia
648,Coastline Seaview Duplex Level 19 Executive Floor,87.00,16.00,4.92 (437),6 beds,Loft in George Town,,Malaysia
649,VENUE HOTEL-20% Superior City NiceWindow#Good Rate,17.00,177.00,4.35 (17),1 bed,Hotel in Nha Trang,,Vietnam
650,"Bebalilodge, one bedroom house with private pool",76.00,57.00,4.97 (153),1 bed,Farm stay in Gianyar,,Indonesia
651,"BOHO CABIN, Hin Kong Beachfront, West Coast.",132.00,34.00,4.98 (44),1 king bed,Cabin in Tambon Ko Pha-ngan,,Thailand
652,(A)Charming Pool Access One Bedroom Apartment,65.00,66.00,4.82 (68),2 beds,Apartment in Tambon Kamala,,Thailand
653,Wake up to the Sea of Bali: Beachfront luxury plus,194.00,47.00,5.0 (139),8 beds,Villa in Seririt,,Indonesia
654,Enchanted River cabin w/private garden and kitchen,51.00,22.00,4.85 (127),1 queen bed,Cabin in Lazi,,Philippines
655,Cozy City Condo at Horizons 101 [ W/ WIFI ].,26.00,,4.44 (220),2 beds,Condo in Cebu City,,Philippines
656,SUNSET SEAVIEW DELUXE PATONG - POOL+TERRACE,64.00,,4.8 (159),2 beds,Apartment in Tambon Patong,,Thailand
657,Cozy room 48.5 sq.m @The Astra near Night market,45.00,,4.89 (190),2 beds,Condo in Chiang Mai,,Thailand
658,2 Bedrooms Beachfront on Maikhao Beach B#7F,90.00,,4.6 (65),2 beds,Condo in Tambon Thep Krasatti,,Thailand
659,EXPRESSIONZ-1Bedroom-Junior-Suite-KLCC-Sky-Pool,53.00,,4.78 (408),1 king bed,Apartment in Kuala Lumpur,,Malaysia
660,La Casita Hua Hin 2,32.00,,4.75 (170),1 sofa bed,Apartment in Tambon Hua Hin,,Thailand
661,The LOJI @ Patra Kuningan # 3,24.00,,4.83 (69),2 beds,Room in Tebet,,Indonesia
662,Cozy Studio across Ayala Mall iT Park 1min walk,26.00,,4.78 (235),1 bed,Condo in Cebu City,,Philippines
663,B4: Sea Breeze Bungalow with Ensuite and AC,33.00,,4.82 (191),2 double beds,Bungalow in Ko Samui,,Thailand
664,"Villa Arun, Sumberkima Hill",262.00,,4.88 (57),1 queen bed,Villa in Pemuteran,,Indonesia
665,DANNY’s HIGH VIEW STUDIO near District1 Ben Thanh!,44.00,,4.78 (167),1 queen bed,Apartment in Quận 4,,Vietnam
666,Premier Lux Studio Large Tv Free Netflix | City,62.00,28.00,4.9 (166),2 king beds,Apartment in Kuala Lumpur,,Malaysia
667,"BOHO CABIN, Hin Kong Beachfront, West Coast.",132.00,177.00,4.98 (44),1 king bed,Cabin in Tambon Ko Pha-ngan,,Thailand
668,【R&F】Studio of Dual-Key Homely Getaway byⓗⓢ,44.00,57.00,4.78 (139),2 queen beds,Condo in Johor Bahru,,Malaysia
669,"Luxury Q Chidlom Condo, BTS ChitLom, Siam,",90.00,34.00,4.79 (61),1 queen bed,Apartment in Bangkok ,,Thailand
670,(A)Charming Pool Access One Bedroom Apartment,65.00,22.00,4.82 (68),2 beds,Apartment in Tambon Kamala,,Thailand
671,Wake up to the Sea of Bali: Beachfront luxury plus,194.00,,5.0 (139),8 beds,Villa in Seririt,,Indonesia
672,#18 2022 Newest! Downtown Lux Fun Sea View Condo,63.00,,5.0 (27),1 queen bed,Apartment in Muang Pattaya,,Thailand
673,Enchanted River cabin w/private garden and kitchen,51.00,,4.85 (127),1 queen bed,Cabin in Lazi,,Philippines
674,Cozy City Condo at Horizons 101 [ W/ WIFI ].,26.00,,4.44 (220),2 beds,Condo in Cebu City,,Philippines
675,SUNSET SEAVIEW DELUXE PATONG - POOL+TERRACE,64.00,,4.8 (159),2 beds,Apartment in Tambon Patong,,Thailand
676,Cozy room 48.5 sq.m @The Astra near Night market,45.00,,4.89 (190),2 beds,Condo in Chiang Mai,,Thailand
677,B2733/Seaview/5mins to Jonker/Imperio/Studio/4pax,30.00,,4.71 (230),3 beds,Condo in Melaka,,Malaysia
678,Kanvas Soho / KLIA / FREE WIFI 500mbps,24.00,,4.8 (410),2 beds,Condo in Cyberjaya,,Malaysia
679,#Maritime*3*The Rhythm of the Sea @ 日出无敌全海景,98.00,,4.56 (93),3 double beds,Loft in Jelutong,,Malaysia
680,Waterfront Traditional Thai Style Pool Villa (V7),41.00,,4.71 (82),1 queen bed,Villa in Phuket,,Thailand
681,The LOJI @ Patra Kuningan # 3,24.00,,4.83 (69),2 double beds,Room in Tebet,,Indonesia
682,"Villa Arun, Sumberkima Hill",262.00,,4.88 (57),1 queen bed,Villa in Pemuteran,,Indonesia
683,DANNY’s HIGH VIEW STUDIO near District1 Ben Thanh!,44.00,,4.78 (167),1 queen bed,Apartment in Quận 4,,Vietnam
684,Comfy-Cozy-Cheap @ NAIA 3 near RW w/ NETFLIX,33.00,573.00,4.86 (692),3 beds,Apartment in Pasay,,Philippines
685,[50mbps+NETFLIX] Your home in the heart of Manila,28.00,38.00,4.73 (159),1 double bed,Condo in Manila,,Philippines
686,Comfy Room with Bathroom near MRT Phra Ram 9,30.00,63.00,4.99 (72),1 king bed,Room in Khet Din Daeng,,Thailand
687,"Endless Patong Ocean View from a Hilltop Condominium, Phuket",56.00,100.00,4.95 (252),4 beds,Apartment in Patong,,Thailand
688,"Spectacular Ocean View Villa in Uluwatu, Bali",673.00,,4.94 (143),2 beds,Villa in Uluwatu,,Indonesia
689,"Exclusive Villa, for Couples Looking To Relax",149.00,,4.85 (62),2 king beds,Room in Kecamatan Ubud,,Indonesia
690,1 BR Phuket Modern Luxury Living,44.00,,4.68 (202),1 king bed,Apartment in Tambon Patong,,Thailand
691,*SETIA ALAM* Big Luxury Comfort Homestay #Trefoil,30.00,,4.87 (171),1 king bed,Apartment in Shah Alam,,Malaysia
692,Luxury Villa in Ubud,65.00,,4.91 (54),3 beds,Room in Ubud,,Indonesia
693,"S101 Beachfront Private Villa,A Resort by the Sea",49.00,,4.75 (80),2 queen beds,Resort in Langkawi,,Malaysia
694,Admire Deluxe Marble Walls at a Highrise Resort Home,85.00,,4.85 (135),2 beds,Apartment in Kuala Lumpur,,Malaysia
695,B1706/5 mins drive to Jonker/Imperio/Studio/4pax,29.00,,4.79 (195),1 bed,Condo in Melaka,,Malaysia
696,Odesa Villa1 Ubud close to center,29.00,,5.0 (9),1 bed,Room in Kecamatan Ubud,,Indonesia
697,"Malay villa, Best views in Ubud!",167.00,,4.77 (119),1 bed,Hotel room in Ubud,,Indonesia
698,*Hidden Oasis Bangkok 1 | Near ICONSIAM,28.00,,4.86 (166),1 bed,Room in Khlong Ton Sai,Khlong San,Thailand
699,Directly on the beach-for animal lovers only,144.00,,5.0 (27),1 bed,Home in Tambon Bo Put,,Thailand
700,"Maphrao in Kamala, accommodation on the beach",49.00,,4.89 (37),1 bed,Place to stay in Kamala,,Thailand
701,A Divers Home: beachfront room with sunset view,34.00,,4.89 (98),1 bed,Room in El Nido,,Philippines
702,Forest Haven - Otium,224.00,,4.85 (218),1 queen bed,Tiny home in Millersburg,,
703,WANDERLUST TREEHOUSE Book an experience!,402.00,,4.99 (271),1 queen bed,Treehouse in Crane Hill,,
704,Architectural Masterpiece | Best View in Telluride,732.00,,4.97 (76),5 beds,Home in Telluride,,
705,The Triangle: A-Frame Cabin for your city retreat,123.00,,4.91 (515),4 beds,Cabin in West Farmington,,
